X,u
0,0
0.001,0
0.002,-9.9005e-05
0.003,-0.00029603
0.004,-0.000590099
0.005,-0.000980248
0.006,-0.00146552
0.007,-0.00204497
0.008,-0.00271765
0.009,-0.00348265
0.01,-0.00433904
0.011,-0.00528592
0.012,-0.00632238
0.013,-0.00744753
0.014,-0.00866049
0.015,-0.00996039
0.016,-0.0113464
0.017,-0.0128175
0.018,-0.0143731
0.019,-0.0160122
0.02,-0.0177339
0.021,-0.0195376
0.022,-0.0214223
0.023,-0.0233872
0.024,-0.0254316
0.025,-0.0275547
0.026,-0.0297557
0.027,-0.0320337
0.028,-0.0343881
0.029,-0.0368181
0.03,-0.0393229
0.031,-0.0419018
0.032,-0.044554
0.033,-0.0472788
0.034,-0.0500756
0.035,-0.0529435
0.036,-0.0558819
0.037,-0.05889
0.038,-0.0619672
0.039,-0.0651128
0.04,-0.0683261
0.041,-0.0716065
0.042,-0.0749532
0.043,-0.0783656
0.044,-0.0818431
0.045,-0.0853849
0.046,-0.0889906
0.047,-0.0926593
0.048,-0.0963906
0.049,-0.100184
0.05,-0.104038
0.051,-0.107953
0.052,-0.111928
0.053,-0.115963
0.054,-0.120056
0.055,-0.124208
0.056,-0.128417
0.057,-0.132684
0.058,-0.137007
0.059,-0.141386
0.06,-0.14582
0.061,-0.15031
0.062,-0.154853
0.063,-0.159451
0.064,-0.164102
0.065,-0.168805
0.066,-0.173561
0.067,-0.178368
0.068,-0.183227
0.069,-0.188136
0.07,-0.193095
0.071,-0.198104
0.072,-0.203163
0.073,-0.208269
0.074,-0.213424
0.075,-0.218627
0.076,-0.223877
0.077,-0.229174
0.078,-0.234517
0.079,-0.239906
0.08,-0.24534
0.081,-0.250819
0.082,-0.256343
0.083,-0.261911
0.084,-0.267522
0.085,-0.273177
0.086,-0.278874
0.087,-0.284614
0.088,-0.290395
0.089,-0.296218
0.09,-0.302082
0.091,-0.307987
0.092,-0.313932
0.093,-0.319917
0.094,-0.325941
0.095,-0.332004
0.096,-0.338106
0.097,-0.344246
0.098,-0.350425
0.099,-0.35664
0.1,-0.362893
0.101,-0.369183
0.102,-0.375509
0.103,-0.381871
0.104,-0.388269
0.105,-0.394702
0.106,-0.40117
0.107,-0.407673
0.108,-0.41421
0.109,-0.420781
0.11,-0.427386
0.111,-0.434024
0.112,-0.440695
0.113,-0.447398
0.114,-0.454134
0.115,-0.460902
0.116,-0.467702
0.117,-0.474532
0.118,-0.481394
0.119,-0.488287
0.12,-0.49521
0.121,-0.502163
0.122,-0.509146
0.123,-0.516159
0.124,-0.523201
0.125,-0.530271
0.126,-0.537371
0.127,-0.544498
0.128,-0.551654
0.129,-0.558838
0.13,-0.566049
0.131,-0.573287
0.132,-0.580552
0.133,-0.587845
0.134,-0.595163
0.135,-0.602508
0.136,-0.609878
0.137,-0.617275
0.138,-0.624696
0.139,-0.632143
0.14,-0.639615
0.141,-0.647111
0.142,-0.654632
0.143,-0.662177
0.144,-0.669746
0.145,-0.677339
0.146,-0.684955
0.147,-0.692594
0.148,-0.700257
0.149,-0.707942
0.15,-0.715649
0.151,-0.723379
0.152,-0.731131
0.153,-0.738905
0.154,-0.746701
0.155,-0.754518
0.156,-0.762356
0.157,-0.770215
0.158,-0.778095
0.159,-0.785996
0.16,-0.793917
0.161,-0.801858
0.162,-0.809819
0.163,-0.8178
0.164,-0.825801
0.165,-0.83382
0.166,-0.84186
0.167,-0.849918
0.168,-0.857995
0.169,-0.86609
0.17,-0.874205
0.171,-0.882337
0.172,-0.890487
0.173,-0.898656
0.174,-0.906842
0.175,-0.915046
0.176,-0.923267
0.177,-0.931505
0.178,-0.93976
0.179,-0.948032
0.18,-0.956321
0.181,-0.964626
0.182,-0.972948
0.183,-0.981286
0.184,-0.98964
0.185,-0.99801
0.186,-1.0064
0.187,-1.0148
0.188,-1.02321
0.189,-1.03164
0.19,-1.04009
0.191,-1.04855
0.192,-1.05703
0.193,-1.06552
0.194,-1.07403
0.195,-1.08255
0.196,-1.09108
0.197,-1.09963
0.198,-1.10819
0.199,-1.11677
0.2,-1.12536
0.201,-1.13396
0.202,-1.14258
0.203,-1.15121
0.204,-1.15985
0.205,-1.16851
0.206,-1.17718
0.207,-1.18586
0.208,-1.19455
0.209,-1.20326
0.21,-1.21198
0.211,-1.22071
0.212,-1.22946
0.213,-1.23821
0.214,-1.24698
0.215,-1.25576
0.216,-1.26455
0.217,-1.27335
0.218,-1.28217
0.219,-1.29099
0.22,-1.29983
0.221,-1.30868
0.222,-1.31754
0.223,-1.3264
0.224,-1.33528
0.225,-1.34418
0.226,-1.35308
0.227,-1.36199
0.228,-1.37091
0.229,-1.37984
0.23,-1.38879
0.231,-1.39774
0.232,-1.4067
0.233,-1.41567
0.234,-1.42465
0.235,-1.43365
0.236,-1.44265
0.237,-1.45166
0.238,-1.46068
0.239,-1.46971
0.24,-1.47875
0.241,-1.48779
0.242,-1.49685
0.243,-1.50591
0.244,-1.51499
0.245,-1.52407
0.246,-1.53316
0.247,-1.54226
0.248,-1.55137
0.249,-1.56049
0.25,-1.56961
0.251,-1.57875
0.252,-1.58789
0.253,-1.59704
0.254,-1.6062
0.255,-1.61536
0.256,-1.62453
0.257,-1.63371
0.258,-1.6429
0.259,-1.6521
0.26,-1.6613
0.261,-1.67051
0.262,-1.67973
0.263,-1.68896
0.264,-1.69819
0.265,-1.70743
0.266,-1.71668
0.267,-1.72593
0.268,-1.73519
0.269,-1.74446
0.27,-1.75374
0.271,-1.76302
0.272,-1.77231
0.273,-1.7816
0.274,-1.7909
0.275,-1.80021
0.276,-1.80952
0.277,-1.81884
0.278,-1.82817
0.279,-1.8375
0.28,-1.84684
0.281,-1.85619
0.282,-1.86554
0.283,-1.87489
0.284,-1.88426
0.285,-1.89363
0.286,-1.903
0.287,-1.91238
0.288,-1.92177
0.289,-1.93116
0.29,-1.94056
0.291,-1.94996
0.292,-1.95937
0.293,-1.96878
0.294,-1.9782
0.295,-1.98762
0.296,-1.99705
0.297,-2.00649
0.298,-2.01593
0.299,-2.02537
0.3,-2.03482
0.301,-2.04427
0.302,-2.05373
0.303,-2.0632
0.304,-2.07267
0.305,-2.08214
0.306,-2.09162
0.307,-2.1011
0.308,-2.11059
0.309,-2.12009
0.31,-2.12958
0.311,-2.13909
0.312,-2.14859
0.313,-2.1581
0.314,-2.16762
0.315,-2.17714
0.316,-2.18666
0.317,-2.19619
0.318,-2.20572
0.319,-2.21526
0.32,-2.2248
0.321,-2.23434
0.322,-2.24389
0.323,-2.25344
0.324,-2.263
0.325,-2.27256
0.326,-2.28212
0.327,-2.29169
0.328,-2.30126
0.329,-2.31084
0.33,-2.32042
0.331,-2.33
0.332,-2.33959
0.333,-2.34918
0.334,-2.35877
0.335,-2.36837
0.336,-2.37797
0.337,-2.38758
0.338,-2.39718
0.339,-2.4068
0.34,-2.41641
0.341,-2.42603
0.342,-2.43565
0.343,-2.44527
0.344,-2.4549
0.345,-2.46453
0.346,-2.47417
0.347,-2.4838
0.348,-2.49344
0.349,-2.50309
0.35,-2.51273
0.351,-2.52238
0.352,-2.53204
0.353,-2.54169
0.354,-2.55135
0.355,-2.56101
0.356,-2.57068
0.357,-2.58034
0.358,-2.59001
0.359,-2.59969
0.36,-2.60936
0.361,-2.61904
0.362,-2.62872
0.363,-2.6384
0.364,-2.64809
0.365,-2.65778
0.366,-2.66747
0.367,-2.67717
0.368,-2.68686
0.369,-2.69656
0.37,-2.70626
0.371,-2.71597
0.372,-2.72567
0.373,-2.73538
0.374,-2.74509
0.375,-2.75481
0.376,-2.76452
0.377,-2.77424
0.378,-2.78396
0.379,-2.79369
0.38,-2.80341
0.381,-2.81314
0.382,-2.82287
0.383,-2.8326
0.384,-2.84233
0.385,-2.85207
0.386,-2.86181
0.387,-2.87155
0.388,-2.88129
0.389,-2.89104
0.39,-2.90078
0.391,-2.91053
0.392,-2.92028
0.393,-2.93003
0.394,-2.93979
0.395,-2.94955
0.396,-2.9593
0.397,-2.96907
0.398,-2.97883
0.399,-2.98859
0.4,-2.99836
0.401,-3.00813
0.402,-3.01789
0.403,-3.02767
0.404,-3.03744
0.405,-3.04721
0.406,-3.05699
0.407,-3.06677
0.408,-3.07655
0.409,-3.08633
0.41,-3.09612
0.411,-3.1059
0.412,-3.11569
0.413,-3.12548
0.414,-3.13527
0.415,-3.14506
0.416,-3.15485
0.417,-3.16465
